algo_name,number_of_apps,Avg,Min,Max
sm2_pr_closest_min_sites,3,104.3,75,134
sm2_pr_best_lat_min_sites,3,104.3,75,134
sm2_pr_closest_max_sites,3,51.6,43,63
sm2_pr_best_lat_max_sites,3,51.4,43,63
sm2_pr_milp_max_sites,3,46.7,36,61
sm2_pr_closest_min_sites,5,152.0,117,186
sm2_pr_best_lat_min_sites,5,158.17,117,189
sm2_pr_closest_max_sites,5,105.89,70,174
sm2_pr_best_lat_max_sites,5,108.5,70,174
sm2_pr_milp_max_sites,5,97.8,56,165
sm2_pr_closest_min_sites,7,193.0,193,193
sm2_pr_best_lat_min_sites,7,193.0,193,193
sm2_pr_closest_max_sites,7,148.2,97,189
sm2_pr_best_lat_max_sites,7,147.9,97,189
sm2_pr_milp_max_sites,7,136.0,86,180
sm2_pr_closest_min_sites,9,0.0,0.0,0.0
sm2_pr_best_lat_min_sites,9,0.0,0.0,0.0
sm2_pr_closest_max_sites,9,190.0,160,248
sm2_pr_best_lat_max_sites,9,187.78,160,248
sm2_pr_milp_max_sites,9,182.9,150,250
sm2_pr_closest_min_sites,11,0.0,0.0,0.0
sm2_pr_best_lat_min_sites,11,0.0,0.0,0.0
sm2_pr_closest_max_sites,11,210.7,157,250
sm2_pr_best_lat_max_sites,11,211.11,157,250
sm2_pr_milp_max_sites,11,190.4,138,241
sm2_pr_closest_min_sites,13,0.0,0.0,0.0
sm2_pr_best_lat_min_sites,13,0.0,0.0,0.0
sm2_pr_closest_max_sites,13,223.12,197,251
sm2_pr_best_lat_max_sites,13,227.14,202,254
sm2_pr_milp_max_sites,13,211.8,185,245
sm2_pr_closest_min_sites,15,0.0,0.0,0.0
sm2_pr_best_lat_min_sites,15,0.0,0.0,0.0
sm2_pr_closest_max_sites,15,254.33,228,265
sm2_pr_best_lat_max_sites,15,252.25,228,265
sm2_pr_milp_max_sites,15,224.4,190,248
sm2_pr_closest_min_sites,20,0.0,0.0,0.0
sm2_pr_best_lat_min_sites,20,0.0,0.0,0.0
sm2_pr_closest_max_sites,20,252.0,249,256
sm2_pr_best_lat_max_sites,20,255.0,255,255
sm2_pr_milp_max_sites,20,236.4,227,258
