algo_name,number_of_apps,Avg,Min,Max
sm1_round_robin_min_sites,3,0.04,0.03,0.07
sm1_closest_min_sites,3,0.58,0.3,1.63
sm1_best_lat_min_sites,3,236.26,64.8,418.39
sm1_round_robin_max_sites,3,0.04,0.04,0.06
sm1_closest_max_sites,3,0.41,0.27,0.51
sm1_best_lat_max_sites,3,42.2,16.21,122.01
sm1_closest_max_sites_meet_lat,3,19.24,14.04,28.77
sm1_best_lat_max_sites_meet_lat,3,97.77,32.22,196.99
sm1_milp_max_sites,3,2832.66,1620.07,6459.78
sm1_round_robin_min_sites,5,0.06,0.04,0.1
sm1_closest_min_sites,5,0.72,0.59,0.92
sm1_best_lat_min_sites,5,373.42,124.18,1099.77
sm1_round_robin_max_sites,5,0.07,0.06,0.12
sm1_closest_max_sites,5,0.73,0.58,0.95
sm1_best_lat_max_sites,5,59.88,26.85,143.28
sm1_closest_max_sites_meet_lat,5,42.27,26.62,58.1
sm1_best_lat_max_sites_meet_lat,5,320.93,53.64,796.13
sm1_milp_max_sites,5,6106.17,3302.24,11589.05
sm1_round_robin_min_sites,7,0.08,0.07,0.1
sm1_closest_min_sites,7,0.84,0.71,0.98
sm1_best_lat_min_sites,7,601.81,456.84,812.77
sm1_round_robin_max_sites,7,0.08,0.08,0.09
sm1_closest_max_sites,7,0.81,0.62,0.98
sm1_best_lat_max_sites,7,62.82,37.25,111.54
sm1_closest_max_sites_meet_lat,7,48.77,35.18,84.18
sm1_best_lat_max_sites_meet_lat,7,328.48,75.27,1282.29
sm1_milp_max_sites,7,11962.49,4531.66,59584.16
sm1_round_robin_min_sites,9,0.1,0.08,0.13
sm1_closest_min_sites,9,1.14,0.94,1.36
sm1_best_lat_min_sites,9,779.47,386.89,1297.11
sm1_round_robin_max_sites,9,0.11,0.1,0.11
sm1_closest_max_sites,9,1.17,1.0,1.41
sm1_best_lat_max_sites,9,81.74,47.99,120.61
sm1_closest_max_sites_meet_lat,9,62.42,47.38,78.7
sm1_best_lat_max_sites_meet_lat,9,305.07,110.23,474.52
sm1_milp_max_sites,9,9411.13,6107.84,12429.84
sm1_round_robin_min_sites,11,0.11,0.1,0.14
sm1_closest_min_sites,11,1.44,1.19,1.67
sm1_best_lat_min_sites,11,816.06,588.05,1155.56
sm1_round_robin_max_sites,11,0.14,0.12,0.2
sm1_closest_max_sites,11,1.41,1.22,1.66
sm1_best_lat_max_sites,11,103.98,59.24,131.87
sm1_closest_max_sites_meet_lat,11,76.5,59.26,106.2
sm1_best_lat_max_sites_meet_lat,11,454.75,267.1,1070.45
sm1_milp_max_sites,11,12574.06,8243.08,21722.9
sm1_round_robin_min_sites,13,0.12,0.11,0.14
sm1_closest_min_sites,13,1.59,1.35,1.81
sm1_best_lat_min_sites,13,1037.06,754.49,1295.84
sm1_round_robin_max_sites,13,0.15,0.14,0.15
sm1_closest_max_sites,13,1.64,1.33,1.95
sm1_best_lat_max_sites,13,124.72,70.81,176.18
sm1_closest_max_sites_meet_lat,13,96.02,82.12,130.84
sm1_best_lat_max_sites_meet_lat,13,539.8,181.87,1153.77
sm1_milp_max_sites,13,15009.58,11224.09,20938.32
sm1_round_robin_min_sites,15,0.14,0.12,0.2
sm1_closest_min_sites,15,1.79,1.64,2.09
sm1_best_lat_min_sites,15,1236.88,857.24,2019.7
sm1_round_robin_max_sites,15,0.17,0.15,0.24
sm1_closest_max_sites,15,3.1,1.58,12.85
sm1_best_lat_max_sites,15,152.97,79.75,195.29
sm1_closest_max_sites_meet_lat,15,106.14,80.11,122.5
sm1_best_lat_max_sites_meet_lat,15,563.26,184.33,990.64
sm1_milp_max_sites,15,15882.71,10156.29,20903.12
sm1_round_robin_min_sites,20,0.2,0.17,0.26
sm1_closest_min_sites,20,3.65,2.21,14.23
sm1_best_lat_min_sites,20,1692.77,1335.27,2038.44
sm1_round_robin_max_sites,20,0.22,0.21,0.23
sm1_closest_max_sites,20,2.49,2.32,2.84
sm1_best_lat_max_sites,20,191.42,122.74,246.19
sm1_closest_max_sites_meet_lat,20,155.19,135.77,187.47
sm1_best_lat_max_sites_meet_lat,20,1016.21,542.02,1700.53
sm1_milp_max_sites,20,28764.0,22383.81,36021.9
sm1_round_robin_min_sites,30,0.46,0.31,0.96
sm1_closest_min_sites,30,3.92,3.57,4.49
sm1_best_lat_min_sites,30,2414.28,1581.28,3396.19
sm1_round_robin_max_sites,30,0.35,0.31,0.43
sm1_closest_max_sites,30,3.73,3.36,4.14
sm1_best_lat_max_sites,30,350.93,221.86,906.57
sm1_closest_max_sites_meet_lat,30,217.23,195.94,237.85
sm1_best_lat_max_sites_meet_lat,30,1337.91,916.64,1674.98
sm1_milp_max_sites,30,50784.25,42104.7,65641.28
