algo_name,number_of_apps,Avg,Min,Max
sm1_round_robin_min_sites,3,103.44,75,134
sm1_closest_min_sites,3,104.3,75,134
sm1_best_lat_min_sites,3,104.3,75,134
sm1_round_robin_max_sites,3,52.0,43,63
sm1_closest_max_sites,3,52.0,43,63
sm1_best_lat_max_sites,3,52.0,43,63
sm1_closest_max_sites_meet_lat,3,51.6,43,63
sm1_best_lat_max_sites_meet_lat,3,51.4,43,63
sm1_milp_max_sites,3,46.7,36,61
sm1_round_robin_min_sites,5,193.67,117,253
sm1_closest_min_sites,5,185.78,117,254
sm1_best_lat_min_sites,5,186.1,117,254
sm1_round_robin_max_sites,5,104.33,70,135
sm1_closest_max_sites,5,104.33,70,135
sm1_best_lat_max_sites,5,104.33,70,135
sm1_closest_max_sites_meet_lat,5,109.89,70,174
sm1_best_lat_max_sites_meet_lat,5,112.1,70,174
sm1_milp_max_sites,5,100.6,56,165
sm1_round_robin_min_sites,7,298.43,223,363
sm1_closest_min_sites,7,304.8,223,376
sm1_best_lat_min_sites,7,304.8,223,376
sm1_round_robin_max_sites,7,143.2,115,171
sm1_closest_max_sites,7,143.2,115,171
sm1_best_lat_max_sites,7,143.2,115,171
sm1_closest_max_sites_meet_lat,7,153.6,115,189
sm1_best_lat_max_sites_meet_lat,7,153.3,115,189
sm1_milp_max_sites,7,141.6,100,180
sm1_round_robin_min_sites,9,390.2,328,492
sm1_closest_min_sites,9,388.67,328,492
sm1_best_lat_min_sites,9,381.0,312,492
sm1_round_robin_max_sites,9,194.33,160,234
sm1_closest_max_sites,9,194.33,160,234
sm1_best_lat_max_sites,9,194.33,160,234
sm1_closest_max_sites_meet_lat,9,200.89,160,248
sm1_best_lat_max_sites_meet_lat,9,197.8,160,248
sm1_milp_max_sites,9,184.7,150,236
sm1_round_robin_min_sites,11,436.83,364,526
sm1_closest_min_sites,11,462.33,364,674
sm1_best_lat_min_sites,11,461.8,364,674
sm1_round_robin_max_sites,11,0.0,0.0,0.0
sm1_closest_max_sites,11,0.0,0.0,0.0
sm1_best_lat_max_sites,11,0.0,0.0,0.0
sm1_closest_max_sites_meet_lat,11,234.56,193,349
sm1_best_lat_max_sites_meet_lat,11,238.0,193,349
sm1_milp_max_sites,11,217.8,166,334
sm1_round_robin_min_sites,13,519.0,468,582
sm1_closest_min_sites,13,525.5,445,584
sm1_best_lat_min_sites,13,526.22,445,584
sm1_round_robin_max_sites,13,233.0,233,233
sm1_closest_max_sites,13,233.0,233,233
sm1_best_lat_max_sites,13,233.0,233,233
sm1_closest_max_sites_meet_lat,13,263.33,220,297
sm1_best_lat_max_sites_meet_lat,13,265.8,220,304
sm1_milp_max_sites,13,243.9,199,286
sm1_round_robin_min_sites,15,592.0,462,694
sm1_closest_min_sites,15,588.38,462,694
sm1_best_lat_min_sites,15,608.8,462,723
sm1_round_robin_max_sites,15,327.5,322,333
sm1_closest_max_sites,15,327.5,322,333
sm1_best_lat_max_sites,15,327.5,322,333
sm1_closest_max_sites_meet_lat,15,311.62,246,414
sm1_best_lat_max_sites_meet_lat,15,329.4,246,421
sm1_milp_max_sites,15,302.5,212,390
sm1_round_robin_min_sites,20,887.5,886,889
sm1_closest_min_sites,20,826.67,716,937
sm1_best_lat_min_sites,20,816.89,677,937
sm1_round_robin_max_sites,20,0.0,0.0,0.0
sm1_closest_max_sites,20,0.0,0.0,0.0
sm1_best_lat_max_sites,20,0.0,0.0,0.0
sm1_closest_max_sites_meet_lat,20,409.43,329,452
sm1_best_lat_max_sites_meet_lat,20,424.8,323,564
sm1_milp_max_sites,20,391.1,288,541
sm1_round_robin_min_sites,30,1080.0,1038,1122
sm1_closest_min_sites,30,1225.88,1038,1378
sm1_best_lat_min_sites,30,1221.89,1038,1378
sm1_round_robin_max_sites,30,0.0,0.0,0.0
sm1_closest_max_sites,30,0.0,0.0,0.0
sm1_best_lat_max_sites,30,0.0,0.0,0.0
sm1_closest_max_sites_meet_lat,30,636.33,548,749
sm1_best_lat_max_sites_meet_lat,30,633.7,548,737
sm1_milp_max_sites,30,584.0,484,701
