algo_name,number_of_apps,Avg,Min,Max
sm2_pr_closest_min_sites,3,9.11,1.4,57.48
sm2_pr_best_lat_min_sites,3,267.78,76.99,476.33
sm2_pr_closest_max_sites,3,22.23,16.08,35.9
sm2_pr_best_lat_max_sites,3,111.11,38.81,223.08
sm2_pr_milp_max_sites,3,29801.96,20324.72,46169.21
sm2_pr_closest_min_sites,5,6.48,2.36,23.42
sm2_pr_best_lat_min_sites,5,279.35,114.26,513.88
sm2_pr_closest_max_sites,5,48.25,29.19,69.23
sm2_pr_best_lat_max_sites,5,367.91,59.66,922.25
sm2_pr_milp_max_sites,5,1339300.07,351339.1,1810725.06
sm2_pr_closest_min_sites,7,6.57,3.84,11.07
sm2_pr_best_lat_min_sites,7,303.44,90.55,592.16
sm2_pr_closest_max_sites,7,57.27,42.06,87.09
sm2_pr_best_lat_max_sites,7,380.78,90.49,1504.5
sm2_pr_milp_max_sites,7,1815990.61,1806966.36,1868385.43
sm2_pr_closest_min_sites,9,10.41,4.16,32.85
sm2_pr_best_lat_min_sites,9,334.91,239.55,454.78
sm2_pr_closest_max_sites,9,79.61,58.4,101.2
sm2_pr_best_lat_max_sites,9,360.48,124.34,583.26
sm2_pr_milp_max_sites,9,1812985.47,1807839.11,1821414.1
sm2_pr_closest_min_sites,11,8.27,5.14,11.62
sm2_pr_best_lat_min_sites,11,286.18,132.92,376.69
sm2_pr_closest_max_sites,11,94.81,72.03,136.1
sm2_pr_best_lat_max_sites,11,534.69,311.24,1263.77
sm2_pr_milp_max_sites,11,1816609.26,1806939.85,1825086.67
sm2_pr_closest_min_sites,13,7.9,5.15,11.72
sm2_pr_best_lat_min_sites,13,332.88,112.45,543.56
sm2_pr_closest_max_sites,13,109.66,92.08,143.64
sm2_pr_best_lat_max_sites,13,590.63,219.05,1327.11
sm2_pr_milp_max_sites,13,2029074.57,1818132.0,3879409.61
sm2_pr_closest_min_sites,15,9.94,5.48,22.48
sm2_pr_best_lat_min_sites,15,331.58,166.6,545.82
sm2_pr_closest_max_sites,15,106.57,75.96,127.14
sm2_pr_best_lat_max_sites,15,564.09,151.52,1513.56
sm2_pr_milp_max_sites,15,1831691.99,1822777.75,1850286.02
sm2_pr_closest_min_sites,20,9.14,7.55,14.45
sm2_pr_best_lat_min_sites,20,361.5,190.52,558.82
sm2_pr_closest_max_sites,20,123.13,100.64,166.38
sm2_pr_best_lat_max_sites,20,722.17,425.92,1082.21
sm2_pr_milp_max_sites,20,1863396.8,1849416.87,1877270.64
