algo_name,number_of_apps,Avg,Min,Max
sm2_pr_closest_min_sites,3,3.0,3,3
sm2_pr_best_lat_min_sites,3,3.0,3,3
sm2_pr_closest_max_sites,3,3.0,3,3
sm2_pr_best_lat_max_sites,3,3.0,3,3
sm2_pr_milp_max_sites,3,3.0,3,3
sm2_pr_closest_min_sites,5,4.5,4,5
sm2_pr_best_lat_min_sites,5,4.5,3,5
sm2_pr_closest_max_sites,5,4.9,4,5
sm2_pr_best_lat_max_sites,5,5.0,5,5
sm2_pr_milp_max_sites,5,5.0,5,5
sm2_pr_closest_min_sites,7,5.5,4,7
sm2_pr_best_lat_min_sites,7,5.3,3,7
sm2_pr_closest_max_sites,7,7.0,7,7
sm2_pr_best_lat_max_sites,7,7.0,7,7
sm2_pr_milp_max_sites,7,7.0,7,7
sm2_pr_closest_min_sites,9,6.0,5,7
sm2_pr_best_lat_min_sites,9,5.6,4,8
sm2_pr_closest_max_sites,9,8.8,8,9
sm2_pr_best_lat_max_sites,9,8.9,8,9
sm2_pr_milp_max_sites,9,9.0,9,9
sm2_pr_closest_min_sites,11,6.5,4,9
sm2_pr_best_lat_min_sites,11,6.3,4,9
sm2_pr_closest_max_sites,11,10.7,9,11
sm2_pr_best_lat_max_sites,11,10.6,9,11
sm2_pr_milp_max_sites,11,10.7,9,11
sm2_pr_closest_min_sites,13,7.4,5,9
sm2_pr_best_lat_min_sites,13,7.3,5,9
sm2_pr_closest_max_sites,13,12.1,10,13
sm2_pr_best_lat_max_sites,13,12.2,10,13
sm2_pr_milp_max_sites,13,12.3,11,13
sm2_pr_closest_min_sites,15,7.3,4,9
sm2_pr_best_lat_min_sites,15,7.0,4,9
sm2_pr_closest_max_sites,15,12.9,11,15
sm2_pr_best_lat_max_sites,15,12.6,9,15
sm2_pr_milp_max_sites,15,12.9,11,15
sm2_pr_closest_min_sites,20,8.4,6,10
sm2_pr_best_lat_min_sites,20,7.7,6,9
sm2_pr_closest_max_sites,20,12.8,10,15
sm2_pr_best_lat_max_sites,20,12.8,10,15
sm2_pr_milp_max_sites,20,14.0,10,16
